timestamp,service,pod.id,cpu.num.cores,cpu.usage,cpu.usage.cores,cpu.usage.pct,cpu.usage.pct.container.requested,mem.current,mem.limit,mem.usage.pct,mem.working.set
135,1566386240,service2,exec2,16,2909803166,0.19,1.19,4.64,11027189760,19327352832,57.05,11027120128
136,1566386260,service2,exec2,16,2051944008,0.164,1.03,4,11027161088,19327352832,57.05,11027091456
137,1566386270,service2,exec2,16,4104518760,0.234,1.46,5.71,11027374080,19327352832,57.06,11027312640
138,1566386290,service2,exec2,16,3465323566,0.2,1.25,4.88,11027513344,19327352832,57.06,11027451904
139,1566386300,service2,exec2,16,6823393559,0.581,3.63,14.18,11027533824,19327352832,57.06,11027472384
140,1566386320,service2,exec2,16,3515836911,0.286,1.79,6.98,11102093312,19327352832,57.44,11102031872
141,1566386350,service2,exec2,16,6143627684,0.322,2.01,7.86,11102121984,19327352832,57.44,11102060544
142,1566386360,service2,exec2,16,7499743626,0.452,2.83,11.04,11102199808,19327352832,57.44,11102130176
143,1566386380,service2,exec2,16,9013141760,0.575,3.59,14.04,11102621696,19327352832,57.44,11102552064
144,1566386390,service2,exec2,16,4813555432,0.455,2.84,11.11,11175350272,19327352832,57.82,11175284736
145,1566386410,service2,exec2,16,10535983859,0.58,3.62,14.16,11175407616,19327352832,57.82,11175342080
146,1566386420,service2,exec2,16,6224909578,0.506,3.16,12.35,11175682048,19327352832,57.82,11175616512
147,1566386440,service2,exec2,16,7893654199,0.713,4.46,17.41,11189821440,19327352832,57.9,11189760000
148,1566386450,service2,exec2,16,7728800330,0.504,3.15,12.3,11199512576,19327352832,57.95,11199451136
149,1566386470,service2,exec2,16,9565303102,0.674,4.21,16.46,11199598592,19327352832,57.95,11199537152
150,1566386500,service2,exec2,16,12554050231,0.686,4.29,16.75,11199680512,19327352832,57.95,11199610880
151,1566386510,service2,exec2,16,7537528469,0.569,3.56,13.89,11199500288,19327352832,57.95,11199430656
152,1566386530,service2,exec2,16,10826396078,0.703,4.39,17.16,11199500288,19327352832,57.95,11199430656
153,1566386540,service2,exec2,16,6414880416,0.639,3.99,15.6,11285049344,19327352832,58.39,11284983808
154,1566386570,service2,exec2,16,9571689060,0.868,5.43,21.19,11286454272,19327352832,58.4,11286343680
155,1566386590,service2,exec2,16,8844337201,0.736,4.6,17.97,11286720512,19327352832,58.4,11286609920
156,1566386600,service2,exec2,16,13017161817,0.931,5.82,22.73,11286589440,19327352832,58.4,11286519808
157,1566386620,service2,exec2,16,12134417390,0.997,6.23,24.34,11286872064,19327352832,58.4,11286802432
158,1566386630,service2,exec2,16,9724292532,0.818,5.11,19.97,11284582400,19327352832,58.39,11284512768
159,1566386650,service2,exec2,16,15015236391,0.777,4.86,18.97,11284643840,19327352832,58.39,11284582400
160,1566386660,service2,exec2,16,10335447146,0.964,6.03,23.54,11284635648,19327352832,58.39,11284574208
161,1566386680,service2,exec2,16,16533828040,1.125,7.03,27.47,11284844544,19327352832,58.39,11284779008
162,1566386690,service2,exec2,16,16815501089,0.925,5.78,22.58,11358150656,19327352832,58.77,11358081024
163,1566386710,service2,exec2,16,12324595322,0.93,5.81,22.71,11357982720,19327352832,58.77,11357868032
164,1566386720,service2,exec2,16,15508010655,0.943,5.89,23.02,11358031872,19327352832,58.77,11357917184
165,1566386740,service2,exec2,16,10468592943,0.851,5.32,20.78,11358121984,19327352832,58.77,11358056448
166,1566386750,service2,exec2,16,13115643718,0.994,6.21,24.27,11431235584,19327352832,59.15,11431165952
167,1566386780,service2,exec2,16,19187485543,1.074,6.71,26.22,11431124992,19327352832,59.14,11431010304
168,1566386800,service2,exec2,16,10856504156,1.001,6.26,24.44,11432845312,19327352832,59.15,11432771584
169,1566386830,service2,exec2,16,18345652789,0.957,5.98,23.36,11432734720,19327352832,59.15,11432665088
170,1566386840,service2,exec2,16,14342632557,0.996,6.23,24.32,11434242048,19327352832,59.16,11434172416
171,1566386860,service2,exec2,16,20140475066,1.036,6.48,25.29,11434438656,19327352832,59.16,11434373120
172,1566386870,service2,exec2,16,15223728152,1.2,7.5,29.3,11434438656,19327352832,59.16,11434373120
173,1566386890,service2,exec2,16,13036965119,0.785,4.91,19.17,11434606592,19327352832,59.16,11434541056
174,1566386900,service2,exec2,16,13021979372,0.878,5.49,21.44,11434496000,19327352832,59.16,11434430464
175,1566386920,service2,exec2,16,18567433981,0.973,6.08,23.75,11434504192,19327352832,59.16,11434438656
176,1566386930,service2,exec2,16,12428355457,0.879,5.49,21.46,11434684416,19327352832,59.16,11434618880
